HotelName,Location,Price,Rating,DistanceFromCenter,RoomType,OriginalPrice,PricePerNight,Discount
Centro Barsha - by Rotana,Al Barsha,651.0,8.1,12.0,Centro Room – Twin Beds,651.0,162.75,0.0
Premier Inn Dubai Investments Park,Dubai Investment Park,345.0,8.3,23.8,Double Room - Smoking,345.0,86.25,0.0
Zabeel House The Greens by Jumeirah,The Greens,1267.0,8.9,15.1,Popular Room with Late Check-out at 2pm,1267.0,316.75,0.0
Studio with private beach access at Palm Jumeirah,Palm Jumeirah,1363.0,9.1,16.5,Studio Apartment with Balcony,1363.0,340.75,0.0
Ultimate Luxury Grande 1B With Balcony & Views,Downtown Dubai,1130.0,9.1,200.0,One-Bedroom Apartment with Balcony,1413.0,282.5,20.03
MENA ApartHotel Albarsha At The Mall,Al Barsha,583.0,8.2,11.8,Studio Apartment - Smoking - Twin - 20% off F&B and Laundry,583.0,145.75,0.0
Oaks Ibn Battuta Gate Dubai,Jebel Ali,1211.0,9.1,23.3,Premier Room With Free Shuttle Bus to Public Beach,1211.0,302.75,0.0
Avani Plus Palm View Dubai Hotel & Suites,Dubai Media City,1363.0,9.2,15.9,Studio City View,1363.0,340.75,0.0
Millennium Place Barsha Heights Hotel Apartments,Barsha Heights (Tecom),937.0,8.2,15.0,Superior King Studio,937.0,234.25,0.0
One&Only Royal Mirage Resort Dubai,Al Sufouh,3219.0,9.0,16.6,Arabian Court Deluxe King Room with Waterpark Access,3219.0,804.75,0.0
Silkhaus lovely studio with Downtown view in Boulevard central,Downtown Dubai,1078.0,7.3,400.0,Studio,1078.0,269.5,0.0
Studio M Arabian Plaza Hotel & Hotel Apartments,Deira,606.0,8.4,11.9,Urban Twin Room - with complimentary Shuttle Service to the Beach and Deira City Center,606.0,151.5,0.0
Sheraton Dubai Creek Hotel & Towers,Deira,981.0,8.6,8.5,"Deluxe Room, Guest room, 1 King, City view",981.0,245.25,0.0
"Lemon Tree Hotel, Jumeirah Dubai",Beach & Coast,1021.0,8.6,9.4,Superior Queen/Twin Room with Free Beach Transfer,1021.0,255.25,0.0
Luxury 1-Bedroom Apartment At Burj Crown,Downtown Dubai,1866.0,8.0,350.0,One-Bedroom Apartment,3332.0,466.5,44.0
"Element Al Jaddaf, Dubai",Bur Dubai,1014.0,9.1,6.5,"Studio with 2 Double Beds (Complimentary Transfer to Dubai Mall, Festival City Mall, J1 Beach & Al Jaddaf Metro)",1014.0,253.5,0.0
Apartment in Downtown Dubai,Downtown Dubai,1577.0,9.0,0.6,Two-Bedroom Apartment,1609.0,394.25,1.99
Park Regis Business Bay,Business Bay,933.0,8.6,1.5,Standard Room,933.0,233.25,0.0
Canopy by Hilton Dubai Al Seef,Bur Dubai,825.0,8.5,7.8,King Room - Mobility Accessible,825.0,206.25,0.0
Taj Dubai,Business Bay,1763.0,9.0,0.6,Luxury King Room with City View,1763.0,440.75,0.0
Raffles Dubai,Bur Dubai,2399.0,9.2,6.1,Signature Twin Room,3427.0,599.75,30.0
Citymax Hotel Business Bay,Business Bay,764.0,8.0,1.8,Twin Room - includes 20% off Food & Beverage (excluding in-room dinning),764.0,191.0,0.0
Citymax Hotel Bur Dubai,Bur Dubai,472.0,7.2,6.5,Double Room - includes 20% off Food & Beverage (excluding in-room dining),472.0,118.0,0.0
Modern and Stunning Studio in MAG 910 MBR City,Dubai,878.0,7.2,5.8,Studio,878.0,219.5,0.0
Stella Stays Lana Tower,Dubai,784.0,8.1,16.1,Standard Studio,784.0,196.0,0.0
"Marriott Resort Palm Jumeirah, Dubai",Palm Jumeirah,1789.0,8.8,16.1,"Palm Deluxe Room with 2 Double Beds – Private Balcony, Direct Access to Beach, Free Access to Kids Club",1789.0,447.25,0.0
"Holiday Inn Express Dubai, Jumeirah by IHG",Beach & Coast,758.0,7.8,5.3,Standard King Room - Disability Access,758.0,189.5,0.0
Luxury Palm Tower Studio Apartments with Pool and Fantastic Sea View,Palm Jumeirah,1496.0,9.6,16.1,Studio with Sea View,1496.0,374.0,0.0
InterContinental Dubai Festival City by IHG,Dubai Festival City,1802.0,8.8,8.4,Classic Room,2575.0,450.5,30.02
Crowne Plaza - Dubai Jumeirah by IHG,Beach & Coast,912.0,8.4,5.0,Standard King Room - Smoking,912.0,228.0,0.0
Hilton Dubai The Walk,Jumeirah Beach Residence,1362.0,8.7,19.0,Studio with Sea View (Private Beach Access),1362.0,340.5,0.0
Cozy & Radiant 1BR Business Bay,Business Bay,877.0,8.7,1.6,One-Bedroom Apartment with Balcony,877.0,219.25,0.0
Khalidia Palace Hotel Dubai by Mourouj Gloria,Deira,969.0,8.1,8.8,Deluxe King Room,1424.0,242.25,31.95
Sunday Hotel Holiday international Dubai,Bur Dubai,1173.0,8.7,7.6,Deluxe Double Room,2094.0,293.25,43.98
Hyatt Place Dubai Al Rigga Residences,Deira,977.0,8.2,9.3,Studio with Kitchen,1221.0,244.25,19.98
Dusit Thani Dubai,Trade Centre,1408.0,8.5,1.2,Deluxe Room,1408.0,352.0,0.0
Grand Excelsior Hotel Al Barsha,Al Barsha,719.0,8.8,11.6,Superior King/ Twin Room (Complimentary Shuttle to the Beach and Mall of the Emirates),719.0,179.75,0.0
"Tumbi West Palm Beach Hotel Dubai,Tapestry Collection Hilton",Palm Jumeirah,1574.0,8.6,16.2,King Room,1574.0,393.5,0.0
voco Dubai by IHG,Trade Centre,1502.0,8.4,3.3,Deluxe,1502.0,375.5,0.0
Citymax Hotel Al Barsha at the Mall,Al Barsha,616.0,7.8,11.2,Twin Room with 20% off F&B,616.0,154.0,0.0
Ibis Styles Dubai Jumeira,Beach & Coast,594.0,7.7,5.0,Standard Double Room,594.0,148.5,0.0
Luxury Studio Apartment Palm View with Big Balcony Free Parking by Belvilla,Business Bay,323.0,5.0,2.0,One-Bedroom House,577.0,80.75,44.02
Embassy Suites By Hilton Dubai Business Bay,Business Bay,1350.0,8.6,1.7,King Room,1350.0,337.5,0.0
Unlock J One Downtown Dubai,Business Bay,1405.0,8.5,1.5,Studio with Kitchen,1405.0,351.25,0.0
Pullman Dubai Creek City Centre,Deira,968.0,8.4,8.8,Superior Double Room,968.0,242.0,0.0
Premium JBR Stay with Beach Access and Sea View,Jumeirah Beach Residence,1136.0,8.4,19.2,Bed in 10-Bed Mixed Dormitory Room,1136.0,284.0,0.0
Adagio Premium The Palm,Palm Jumeirah,1363.0,8.8,16.2,Studio King with Private Beach Access,1363.0,340.75,0.0
Jumeirah Zabeel Saray Dubai,Palm Jumeirah,2334.0,8.6,18.5,"Superior King Room with Balcony, access to luxury spa facilities, Kids & Teens Club & private cinema",2334.0,583.5,0.0
DAMAC Maison Aykon City Dubai,Business Bay,1619.0,9.0,2.7,Studio City View With kitchenette - Free Bus service to Dubai Mall Metro Station,1619.0,404.75,0.0
"Radisson Blu Hotel, Dubai Waterfront",Business Bay,1635.0,8.3,1.0,Standard Room,1635.0,408.75,0.0
Hyatt Regency Dubai - Corniche,Deira,1070.0,8.0,9.8,King Room,1070.0,267.5,0.0
Grand Excelsior Hotel - Bur Dubai,Bur Dubai,777.0,8.7,6.5,Deluxe Room with 25% off F&B,1295.0,194.25,40.0
Hyatt Centric Jumeirah Dubai,Beach & Coast,1893.0,8.6,4.6,King Room,1893.0,473.25,0.0
Studio Free Parking Pet Friendly Near Downtown Dubai,Bur Dubai,545.0,8.6,4.5,One-Bedroom Apartment,682.0,136.25,20.09
"Kempinski Hotel Mall of the Emirates, Dubai",Al Barsha,2110.0,9.2,11.4,Superior Room,2110.0,527.5,0.0
Millennium Executive Apartments Mont Rose,Al Barsha,636.0,8.7,14.3,Superior Studio,636.0,159.0,0.0
Millennium Atria Business Bay,Business Bay,940.0,8.2,1.9,Premium Studio,940.0,235.0,0.0
Boutique-Trade Center,Beach & Coast,1198.0,9.0,4.5,Large Double or Twin Room,1198.0,299.5,0.0
Hotel Local Dubai at Jumeirah Village Triangle by the First Collection,Dubai,1136.0,9.5,17.8,"Deluxe King Room - Staycation Package Including 30% Discount on Food & Beverage, Early Check In at 10AM and Late Check Out at 4PM",1748.0,284.0,35.01
Le Meridien Mina Seyahi Beach Resort & Waterpark,Al Sufouh,1856.0,8.6,16.9,"Deluxe Skyline View, 1 King",1856.0,464.0,0.0
Rose Executive Hotel - DWTC,Al Satwa,935.0,8.4,3.4,Executive King Room - Late check-out 2 pm,935.0,233.75,0.0
Grand Heights Dubai Hotel Apartments,Barsha Heights (Tecom),1157.0,8.7,14.4,Classic Studio,1157.0,289.25,0.0
C Central Hotel and Resort The Palm,Palm Jumeirah,1592.0,8.3,14.6,Superior Double Room with Hotel Private Beach Access,1592.0,398.0,0.0
"Taj Exotica Resort & Spa, The Palm, Dubai",Palm Jumeirah,1846.0,9.2,14.3,Luxury Room King Bed,1846.0,461.5,0.0
Hyatt Place Dubai Jumeirah Residences,Beach & Coast,959.0,8.4,5.7,Studio with Kitchen,959.0,239.75,0.0
The Retreat Palm Dubai MGallery by Sofitel,Palm Jumeirah,1467.0,8.4,14.5,Deluxe Room with Balcony,1467.0,366.75,0.0
Hilton Garden inn Dubai Jumeirah,Beach & Coast,660.0,7.4,5.9,King Room,660.0,165.0,0.0
Seven Seas Hotel,Al Qusais,568.0,7.5,13.4,Premium King,568.0,142.0,0.0
"Al Habtoor Grand Resort, Autograph Collection",Jumeirah Beach Residence,1619.0,8.7,18.0,"Tower Partial Ocean View Room, 1 King, or 2 Twin/Single Bed(s)",1619.0,404.75,0.0
Holiday Inn Dubai Business Bay by IHG,Business Bay,1135.0,8.7,1.7,Standard King Room - Smoking,1135.0,283.75,0.0
Resivation Hotel,Dubai,757.0,8.1,22.5,Superior King Room,757.0,189.25,0.0
Howard Johnson Bur Dubai,Bur Dubai,487.0,7.6,7.3,Standard Twin Room - Smoking,487.0,121.75,0.0
FIVE Palm Jumeirah Dubai,Palm Jumeirah,2679.0,9.2,16.1,Superior | Twin Beds,2679.0,669.75,0.0
Citadines Metro Central Dubai,Barsha Heights (Tecom),1156.0,8.8,14.6,Executive Studio,1156.0,289.0,0.0
Centara Mirage Beach Resort Dubai,Palm Deira,1412.0,8.6,12.2,Superior Room King,1765.0,353.0,20.0
Golden Sands Suites,Bur Dubai,1938.0,9.1,6.7,Premier Two Bedroom Suite with Balcony,1938.0,484.5,0.0
JW Marriott Marquis Hotel Dubai,Business Bay,1532.0,8.7,1.8,Deluxe King Room,1532.0,383.0,0.0
Signature 1 Hotel Tecom,Barsha Heights (Tecom),690.0,8.0,14.8,Classic Room,690.0,172.5,0.0
Novotel Deira Creekside Dubai,Deira,904.0,8.0,8.9,Superior Twin Room,904.0,226.0,0.0
The Canvas Dubai - MGallery Hotel Collection,Bur Dubai,1022.0,8.2,6.8,Superior King Room,1022.0,255.5,0.0
Silkhaus unique 1BDR pad gorgeous view in new tower,Downtown Dubai,1392.0,8.4,0.6,Apartment,1392.0,348.0,0.0
Dubai Marriott Harbour Hotel And Suites,Dubai Marina,1984.0,9.0,17.5,"Renovated, One-Bedroom Suite with City View",1984.0,496.0,0.0
Staybridge Suites Dubai Internet City by IHG,Dubai Internet City,1233.0,9.2,14.6,Studio Suite,1233.0,308.25,0.0
Shangri-La Dubai,Trade Centre,1684.0,8.9,1.4,Deluxe King Room with Sea View,1684.0,421.0,0.0
Jumeirah Emirates Towers Dubai,Trade Centre,1935.0,8.9,2.7,Deluxe Room with Complimentary Private Beach Access and Direct Connectivity to Museum of The Future,1935.0,483.75,0.0
Next'Living - Luxury Private Room in a CoLiving Villa,Business Bay,703.0,9.8,1.1,Single Room,703.0,175.75,0.0
Sheraton Jumeirah Beach Resort,Jumeirah Beach Residence,2177.0,8.8,19.9,"Deluxe King Room - JBR View, Private beach Access",2177.0,544.25,0.0
Crowne Plaza Dubai Marina by IHG,Dubai Marina,1555.0,9.1,18.9,Standard Room,1555.0,388.75,0.0
La Zona Continental Hotel,Deira,690.0,7.9,11.8,Double Room,690.0,172.5,0.0
"The Ritz-Carlton, Dubai",Jumeirah Beach Residence,3090.0,9.1,18.4,Deluxe King Room with Balcony,3090.0,772.5,0.0
Queen Elizabeth 2 Hotel,Bur Dubai,665.0,7.9,7.5,Classic King Room,665.0,166.25,0.0
Escape 24 Luxury Studio Damac Maison Prive Business Bay Dubai,Business Bay,1010.0,8.3,1.2,Studio with Balcony,1010.0,252.5,0.0
InterContinental Residences Dubai Business Bay by IHG,Business Bay,1877.0,9.4,1.5,Studio King Room with Kitchenette/Balcony/City View,1877.0,469.25,0.0
Full View Burj Khalifa and Fountains -Souk Al Bahar- Dream View holiday Home Rental,Dubai,3135.0,9.4,400.0,One-Bedroom Apartment,3135.0,783.75,0.0
Hyde Hotel Dubai,Business Bay,1363.0,8.7,1.6,General Admission King with Balcony,1363.0,340.75,0.0
"Marriott Executive Apartments Al Jaddaf, Dubai",Bur Dubai,1060.0,8.5,4.7,One-Bedroom Apartment (Complimentary Shuttle to La Mer and Dubai Mall),1060.0,265.0,0.0
"Millennium Plaza Downtown, Dubai",Trade Centre,1170.0,7.1,2.9,Deluxe Room,1170.0,292.5,0.0
Le Royal Meridien Beach Resort & Spa Dubai,Jumeirah Beach Residence,2367.0,9.2,18.1,"Super Deluxe, Guest room, 2 Twin/Single Bed(s), City View",2367.0,591.75,0.0
Damac Majestine VIP - Manzar Holiday Homes,Business Bay,1196.0,10.0,1.4,Studio,1196.0,299.0,0.0
Iconic 1BR Creek Beach Premium Amenities - 1404,Dubai Creek,659.0,10.0,7.8,One-Bedroom Apartment,659.0,164.75,0.0
Silkhaus Tower with Private Beach in Exclusive Location,Palm Jumeirah,1415.0,8.6,17.2,Apartment,1415.0,353.75,0.0
DAMAC Maison Cour Jardin,Business Bay,1704.0,9.0,1.0,Deluxe Room with kitchenette - City Skyline View,1704.0,426.0,0.0
Mercure Dubai Deira,Deira,772.0,8.7,9.4,Classic Room King Bed,772.0,193.0,0.0
Silkhaus Burj Khalifa View 1BDR in Burj Crown,Downtown Dubai,1249.0,7.4,250.0,Apartment,1249.0,312.25,0.0
Sofitel Dubai Downtown,Downtown Dubai,2044.0,8.9,0.6,Luxury King Room,2044.0,511.0,0.0
Royal Central Hotel and Resort The Palm,Palm Jumeirah,1840.0,8.6,14.3,Superior Twin Room with Hotel Private Beach Access,1840.0,460.0,0.0
Heritage Home Guest House,Bur Dubai,966.0,8.1,8.1,Double Room,966.0,241.5,0.0
Ibis One Central - World Trade Centre Dubai,Trade Centre,1134.0,7.7,3.2,Standard Queen Room,1134.0,283.5,0.0
Sofitel Dubai Jumeirah Beach,Jumeirah Beach Residence,1857.0,9.4,19.4,Superior King Room with Partial Sea View - Pool Access,1857.0,464.25,0.0
Savoy Central Hotel Apartments,Bur Dubai,885.0,8.5,7.1,Executive Studio,885.0,221.25,0.0
Aparthotel Adagio Dubai Deira,Deira,863.0,8.1,9.6,Studio Deluxe - 20% off Food & Beverage,863.0,215.75,0.0
Avenue Hotel Dubai,Deira,612.0,7.8,9.2,Premium Single Room,612.0,153.0,0.0
Breathtaking view studio – Address Dubai Marina,Dubai Marina,1893.0,7.6,18.6,Studio Apartment,1893.0,473.25,0.0
Executive Studio with Burj View at Upside Living 2009,Business Bay,1281.0,7.6,2.1,Studio,1281.0,320.25,0.0
Roda Amwaj Suites Jumeirah Beach Residence,Jumeirah Beach Residence,1437.0,8.5,19.5,One Bedroom Apartment,1437.0,359.25,0.0
Cheval Maison - Expo City Dubai,Dubai World Central,1150.0,9.1,28.7,Superior Studio Apartment,1150.0,287.5,0.0
The Westin Dubai Mina Seyahi Beach Resort and Waterpark,Al Sufouh,2230.0,8.8,16.9,"Deluxe Skyline View, 1 King, Jungle Bay Waterpark access",2230.0,557.5,0.0
Waves - Elegant Waterfront Living in Dubai's Business Bay,Business Bay,4649.0,8.8,1.7,Two-Bedroom Apartment,4649.0,1162.25,0.0
Luxurious apartments at JLT by Checkmyguest,Beach & Coast,365.0,4.6,20.6,Standard Two Bedroom Apartment,651.0,91.25,43.93
"Barcelo Al Jaddaf, Dubai",Bur Dubai,1113.0,8.6,5.7,"Deluxe Room, 20% F&B, with Complimentary Shuttle to Dubai Mall & La Mer Beach",1113.0,278.25,0.0
Pulse Al jaddaf hotel,Bur Dubai,460.0,6.8,5.8,Superior Twin Room,511.0,115.0,9.98
Element Dubai Airport,Garhoud,1136.0,8.4,9.5,King Studio with Sofa Bed - Complimentary Transfer to DXB Airport Shuttle Drop Off,1136.0,284.0,0.0
Riu Dubai Beach Resort - All Inclusive,Palm Deira,1530.0,8.7,12.2,Double Room,2041.0,382.5,25.04
Marriott Marquis Dubai,Deira,1280.0,9.0,8.2,Deluxe King Room with City View,1280.0,320.0,0.0
"Savoy Crest Aparthotel, Bur Dubai",Bur Dubai,883.0,8.3,6.8,Deluxe Studio Suite - Free Bus service to La Mer Beach at Jumeirah with Beach Mats & Beach Towels,883.0,220.75,0.0
Akas-Inn Hotel Apartment,Al Barsha,521.0,8.3,11.9,Studio Apartment,521.0,130.25,0.0
Grand Hyatt Residence,Bur Dubai,1325.0,8.3,6.6,One-Bedroom Apartment,1325.0,331.25,0.0
"Beautiful Studio in Bayz Towers by Danube, Business Bay",Business Bay,537.0,8.8,1.7,One-Bedroom Apartment,537.0,134.25,0.0
"La Ville Hotel & Suites CITY WALK Dubai, Autograph Collection",Al Wasl,1859.0,8.8,1.9,"Deluxe Room, Guest room, 2 Double",1859.0,464.75,0.0
Ink Hotel,Bur Dubai,844.0,8.2,7.6,Standard City View,844.0,211.0,0.0
"voco Monaco Dubai by IHG, Adults Only, World Islands",Dubai,687.0,8.3,12.0,Deluxe Twin Room,687.0,171.75,0.0
Staybridge Suites Dubai Financial Centre by IHG,Trade Centre,1599.0,8.6,1.8,Studio Suite,1599.0,399.75,0.0
Pullman Dubai Jumeirah Lakes Towers,Jumeirah Lakes Towers,1693.0,8.0,17.8,Superior King Room,1693.0,423.25,0.0
Grayton Hotel by Blazon Hotels,Bur Dubai,704.0,9.2,6.9,Double Room,704.0,176.0,0.0
Anantara Downtown Dubai,Business Bay,1810.0,8.3,1.4,Premier City View Room,1810.0,452.5,0.0
Jumeirah Mina Al Salam Dubai,Umm Suqeim,3834.0,9.3,11.0,Arabian Deluxe & Wild Wadi Waterpark™ Access,3834.0,958.5,0.0
Silkhaus luxury building high floor 1BDR in Downtown,Zabeel,1306.0,9.6,1.0,Apartment,1306.0,326.5,0.0
Elite Escapes - Socio Stylish 1 BHK Getaway,Dubai,1125.0,9.5,9.4,One-Bedroom Apartment,1125.0,281.25,0.0
Royal Continental Hotel,Deira,694.0,8.9,9.0,Superior King Room,694.0,173.5,0.0
Rixos Premium Dubai JBR,Jumeirah Beach Residence,2361.0,9.2,18.8,Deluxe king bed room,2361.0,590.25,0.0
TIME Asma Hotel,Al Barsha,635.0,8.2,12.1,"Deluxe King Room - Inclusive of 20% Discount on F&B, Laundry and SPA",635.0,158.75,0.0
Al Habtoor Polo Resort,Dubai,1281.0,8.6,16.2,Deluxe Room with Polo Elite Access,1281.0,320.25,0.0
"V Hotel Dubai, Curio Collection by Hilton",Business Bay,1384.0,8.7,2.2,Deluxe King Room,1384.0,346.0,0.0
Vida Dubai Marina & Yacht Club,Dubai Marina,1903.0,9.3,19.4,City View Deluxe Room with Private Balcony King,1903.0,475.75,0.0
SITARA HOTEL APARTMENT,Bur Dubai,947.0,9.0,5.7,Deluxe King Studio,947.0,236.75,0.0
Ibis World Trade Centre,Trade Centre,1509.0,8.7,3.4,Standard Double Room,1509.0,377.25,0.0
Aloft Palm Jumeirah,Palm Jumeirah,1271.0,8.6,14.2,"Aloft King Room including Shopping Malls Shuttle Service, 20% off F&B, Spa & Abra Boat Tour Discount",1271.0,317.75,0.0
"DAMAC Hills 2 Hotel, an Edge by Rotana Hotel",Dubai,481.0,8.1,26.5,Guest Room – Twin Beds,481.0,120.25,0.0
TIME Oak Hotel & Suites,Barsha Heights (Tecom),975.0,8.5,14.9,Deluxe Pool View,975.0,243.75,0.0
JW Marriott Hotel Marina,Dubai Marina,1931.0,9.5,18.6,"Deluxe City View Room, King Bed, Including direct access to Dubai Marina Mall & Marina Walk",1931.0,482.75,0.0
Sparkle Towers by Swarovski - Dubai Marina - High Floor - Beach Resort Sunset view,Dubai Marina,1457.0,10.0,19.7,One-Bedroom Apartment,1457.0,364.25,0.0
Hilton Dubai Al Habtoor City,Business Bay,1461.0,8.2,2.1,King Room,1461.0,365.25,0.0
Silkhaus Burj Royale 1BDR with balcony in Downtown,Downtown Dubai,1301.0,8.0,0.8,Apartment,1301.0,325.25,0.0
Studio One Hotel,Dubai,706.0,8.4,17.0,Standard Double Room,706.0,176.5,0.0
Millennium Al Barsha,Al Barsha,1081.0,8.6,11.8,Deluxe King Room,1081.0,270.25,0.0
"Luxus-Studio mit Private Beach in Top-Lage, Meerblick & Infinity Pool!",Palm Jumeirah,2264.0,9.8,16.4,One-Bedroom Apartment,2264.0,566.0,0.0
Silkhaus new and modern 1BDR in Downtown heart in new tower,Downtown Dubai,1203.0,8.7,1.0,Apartment,1203.0,300.75,0.0
White Sage - Elite Residence Studio,Downtown Dubai,1055.0,8.6,1.1,Studio,1055.0,263.75,0.0
DAMAC Maison Distinction,Downtown Dubai,1988.0,9.1,1.1,Deluxe Room - City Skyline View,1988.0,497.0,0.0
"Flora Creek Deluxe Hotel Apartments, Dubai",Deira,1071.0,8.5,8.5,Studio Apartment,1071.0,267.75,0.0
7 Palm Jumeirah,Palm Jumeirah,1534.0,9.1,16.4,Studio with Balcony,1534.0,383.5,0.0
Jumeirah Al Qasr Dubai,Al Sufouh,4004.0,9.4,11.3,Arabian Deluxe & Wild Wadi Waterpark™ Access,4004.0,1001.0,0.0
Stay in Alexis Tower's Stunning Studio and Sleeps 2,Jebel Ali,690.0,9.4,30.5,Studio,690.0,172.5,0.0
voco - Bonnington Dubai by IHG,Jumeirah Lakes Towers,1150.0,8.8,19.2,Standard King Room,1150.0,287.5,0.0
"Aloft Me'aisam, Dubai",Dubai Production City,646.0,8.3,19.1,"Aloft Room - King Bed (Complimentary Shuttle to Sobha Realty Metro Station, JBR Beach & Mall of the Emirates)",646.0,161.5,0.0
Sky luxe retreat- Luxury Hotel Suite W-Burj khalifa view,Downtown Dubai,812.0,8.3,1.1,One-Bedroom Apartment,1015.0,203.0,20.0
Stella Stays Al-Barari,Dubai,1234.0,8.7,11.3,Standard Studio,1234.0,308.5,0.0
Jumeirah Beach Villa,Umm Suqeim,920.0,7.2,6.0,One-Bedroom Apartment,920.0,230.0,0.0
Knokey Dubai Creek Beach with Lagoon Pool access,Dubai Festival City,1117.0,8.9,7.8,One-Bedroom Apartment,1117.0,279.25,0.0
Mövenpick Hotel & Apartments Bur Dubai,Bur Dubai,849.0,8.0,5.9,Superior Twin Room,849.0,212.25,0.0
Sonder Business Bay,Business Bay,1442.0,8.5,0.8,One-Bedroom Apartment,1442.0,360.5,0.0
Novotel Dubai Al Barsha,Al Barsha,748.0,7.7,12.5,Superior Double Room,748.0,187.0,0.0
Park Inn by Radisson Dubai Motor City,Dubai,627.0,8.3,16.7,Standard Double or Twin Room,627.0,156.75,0.0
25hours Hotel Dubai One Central,Trade Centre,1250.0,8.3,2.9,"Medium Bedouin Room (Free Shuttle Service to DIFC, Kite Beach, and Dubai Mall)",2083.0,312.5,39.99
WonderfulStay at Paramount - Highest Infinity Pool - Burj Khalifa View - Brand New Luxury Apartments,Business Bay,3261.0,9.9,0.8,One-Bedroom Deluxe Apartment,3261.0,815.25,0.0
Novotel Bur Dubai - Healthcare City,Bur Dubai,848.0,8.0,6.4,Superior Twin Room,848.0,212.0,0.0
Better Living Apartment,Bur Dubai,657.0,7.2,7.6,Studio,657.0,164.25,0.0
Blue Beach Tower The Walk JBR,Jumeirah Beach Residence,1365.0,8.2,18.8,Deluxe Room,1365.0,341.25,0.0
ibis Styles Dubai Deira,Deira,764.0,8.2,9.2,Standard King Room,764.0,191.0,0.0
"The St. Regis Dubai, The Palm",Palm Jumeirah,2249.0,9.2,16.1,"Deluxe Guest Room with 1 King, City view",2249.0,562.25,0.0
Staycae Holiday Homes - Damac Towers By Paramount,Business Bay,1057.0,8.0,2.2,One-Bedroom Apartment,1057.0,264.25,0.0
"JA Ocean View Hotel, Jumeirah Beach Dubai",Jumeirah Beach Residence,1733.0,8.7,19.7,Sea View Room with Balcony,2166.0,433.25,19.99
Elegant Living in a Prime Location Shamal Residence,Dubai,1003.0,8.7,17.6,Apartment,1003.0,250.75,0.0
Signature Hotel Apartments and Spa,Dubai Marina,1133.0,7.9,20.1,Superior Studio,1133.0,283.25,0.0
Stylish 1-Bedroom Retreat in Amal Tower Sports City,Dubai,878.0,7.9,18.1,Apartment,878.0,219.5,0.0
"Arabian Park Dubai, an Edge by Rotana Hotel",Bur Dubai,668.0,8.6,6.2,City View Room - Twin Beds,668.0,167.0,0.0
Jacob's Garden Hotel,Bur Dubai,615.0,8.0,7.1,Deluxe Double Room,615.0,153.75,0.0
Aspen Chalets by Kempinski Hotel Mall of The Emirates,Al Barsha,2895.0,9.4,11.4,Grand Deluxe Room City View,2895.0,723.75,0.0
Unlock Metropolis Business Bay,Business Bay,1108.0,8.6,1.7,Deluxe Studio with Kitchen and Balcony,1108.0,277.0,0.0
Ocean Heights Palm View 1 bedroom,Dubai Marina,874.0,10.0,17.1,Apartment,971.0,218.5,9.99
High rise studio near Dubai Mall,Business Bay,923.0,10.0,2.6,One-Bedroom Apartment,923.0,230.75,0.0
Spacious and Stunning Studio in The Heart of JVC,Dubai,878.0,10.0,17.2,Studio,878.0,219.5,0.0
Aloft Dubai Creek,Deira,940.0,8.6,8.6,"Aloft Room, Guest room, King, City view",940.0,235.0,0.0
"Rose Garden Hotel Apartments - Al Barsha, Near Metro Station",Al Barsha,806.0,8.3,12.1,Studio Apartment,806.0,201.5,0.0
White Sage - Gorgeous Apartment in JLT Near the Metro Station,Jumeirah Lakes Towers,929.0,8.5,18.7,One-Bedroom Apartment,929.0,232.25,0.0
151 Residence Jumeirah Gardens,Al Satwa,612.0,8.5,3.5,Studio,612.0,153.0,0.0
"Lux Sky Residence, Burj Crown, Opera Boulevard View by Dubai Mall",Downtown Dubai,3364.0,9.6,300.0,Superior One-Bedroom Apartment with Balcony,3364.0,841.0,0.0
Private Rooms in CoLiving Apartments UP Tower DIFC,Trade Centre,757.0,6.6,2.5,Single Room with Shared Bathroom,757.0,189.25,0.0
Your Elegant Palm Paradise- Fully Equipped,Palm Jumeirah,1859.0,8.4,16.4,Studio Apartment,1859.0,464.75,0.0
Ritz Carlton DIFC Downtown Dubai,Trade Centre,3256.0,8.9,2.1,"Deluxe Room One King or Two Double beds, Non Smoking",3256.0,814.0,0.0
Movenpick Jumeirah Village Triangle,Dubai,931.0,8.2,19.3,Superior King Room with City View (Comp. Shuttle to World Trade Centre),931.0,232.75,0.0
GuestReady - Contemporary living in Dubai Marina,Dubai Marina,4142.0,8.2,19.0,Two-Bedroom Apartment,4142.0,1035.5,0.0
"Luxurious Studio with Stunning Burj Khalifa, Pool & Lake Views Steps from Dubai Mall",Downtown Dubai,1406.0,9.5,450.0,One-Bedroom Apartment,1406.0,351.5,0.0
Roda Al Murooj Residences,Trade Centre,1765.0,8.4,1.0,One-Bedroom Apartment,1765.0,441.25,0.0
Best Location in Dubai marina,Dubai Marina,1942.0,8.4,18.3,Two-Bedroom Apartment,1942.0,485.5,0.0
Grand Ambassador Hotel,Bur Dubai,852.0,8.1,7.8,Standard Room,852.0,213.0,0.0
Millennium Plaza Downtown Suites,Trade Centre,1159.0,7.6,2.9,Junior Suite,1159.0,289.75,0.0
Mark Inn Hotel Deira,Deira,623.0,8.7,9.2,Standard Queen Room,623.0,155.75,0.0
Calm Studio With Relaxing Balcony Atmosphere in Al Barari,Dubai,878.0,8.7,11.3,Studio,878.0,219.5,0.0
